service_name,package_name,topic_name,topic_code,topic_description,task_title,task_description,task_weight_percent,task_priority,task_status,task_start_offset_days,task_duration_days,task_sort_order,item_title,item_description,item_weight_percent,item_priority,item_status,item_start_offset_days,item_duration_days,item_sort_order
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Internal link,,8,medium,todo,0,3,4
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Fix link,,8,medium,todo,0,3,5
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,CTA,,5,medium,todo,0,3,6
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Onpage & Content,,40,medium,todo,0,7,2,PR,,4,medium,todo,0,3,7
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Offpage,,30,medium,todo,0,7,3,Backlink báo,,40,medium,todo,0,3,1
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Offpage,,30,medium,todo,0,7,3,Forum,,26,medium,todo,0,3,2
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Offpage,,30,medium,todo,0,7,3,VIP,,13,medium,todo,0,3,3
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Offpage,,30,medium,todo,0,7,3,Entity,,13,medium,todo,0,3,4
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Offpage,,30,medium,todo,0,7,3,Index,,8,medium,todo,0,3,5
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kỹ thuật,,10,medium,todo,0,7,4,Fix lỗi,,40,medium,todo,0,3,1
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kỹ thuật,,10,medium,todo,0,7,4,Bảo mật,,30,medium,todo,0,3,2
Chăm sóc website,BASIC,Chăm sóc website - BASIC,CHAM_SOC_WEBSITE_BASIC,Barem tự sinh từ markdown cho Chăm sóc website - BASIC,Kỹ thuật,,10,medium,todo,0,7,4,Traffic,,30,medium,todo,0,3,3
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Từ khóa,,40,medium,todo,0,3,1
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Đối thủ,,27,medium,todo,0,3,2
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Kế hoạch,,13,medium,todo,0,3,3
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Setup,,7,medium,todo,0,3,4
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Kế hoạch content,,8,medium,todo,0,3,1
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Bài SEO,,45,medium,todo,0,3,2
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,GuestPost,,25,medium,todo,0,3,3
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Internal link,,7,medium,todo,0,3,4
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Fix link,,5,medium,todo,0,3,5
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,CTA,,5,medium,todo,0,3,6
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,PR,,5,medium,todo,0,3,7
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Offpage,,30,medium,todo,0,7,3,Backlink báo,,40,medium,todo,0,3,1
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Offpage,,30,medium,todo,0,7,3,Forum,,26,medium,todo,0,3,2
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Offpage,,30,medium,todo,0,7,3,VIP,,17,medium,todo,0,3,3
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Offpage,,30,medium,todo,0,7,3,Entity,,10,medium,todo,0,3,4
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Offpage,,30,medium,todo,0,7,3,Index,,7,medium,todo,0,3,5
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Fix lỗi nâng cao,,34,medium,todo,0,3,1
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Bảo mật,,26,medium,todo,0,3,2
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Tối ưu WP,,20,medium,todo,0,3,3
Chăm sóc website,ADVANCED,Chăm sóc website - ADVANCED,CHAM_SOC_WEBSITE_ADVANCED,Barem tự sinh từ markdown cho Chăm sóc website - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Traffic,,20,medium,todo,0,3,4
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Nghiên cứu từ khóa,,50,medium,todo,0,3,1
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Cài đặt công cụ,,25,medium,todo,0,3,2
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Onpage & Content,,45,medium,todo,0,7,2,Kế hoạch content,,11,medium,todo,0,3,1
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Onpage & Content,,45,medium,todo,0,7,2,Bài SEO,,45,medium,todo,0,3,2
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Onpage & Content,,45,medium,todo,0,7,2,GuestPost,,22,medium,todo,0,3,3
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Onpage & Content,,45,medium,todo,0,7,2,Internal link,,11,medium,todo,0,3,4
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Onpage & Content,,45,medium,todo,0,7,2,CTA,,11,medium,todo,0,3,5
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Offpage,,35,medium,todo,0,7,3,Backlink báo,,43,medium,todo,0,3,1
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Offpage,,35,medium,todo,0,7,3,Backlink forum,,29,medium,todo,0,3,2
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Offpage,,35,medium,todo,0,7,3,Backlink VIP,,14,medium,todo,0,3,3
Viết Content,STARTER,Viết Content - STARTER,VIET_CONTENT_STARTER,Barem tự sinh từ markdown cho Viết Content - STARTER,Offpage,,35,medium,todo,0,7,3,Index,,14,medium,todo,0,3,4
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Từ khóa,,40,medium,todo,0,3,1
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Đối thủ,,25,medium,todo,0,3,2
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Kế hoạch SEO,,15,medium,todo,0,3,3
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kiểm tra & phân tích,,20,medium,todo,0,7,1,Setup tool,,10,medium,todo,0,3,4
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Kế hoạch content,,10,medium,todo,0,3,1
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Bài SEO,,40,medium,todo,0,3,2
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,GuestPost,,25,medium,todo,0,3,3
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Internal link,,8,medium,todo,0,3,4
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,Fix link,,7,medium,todo,0,3,5
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,CTA,,5,medium,todo,0,3,6
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Onpage & Content,,40,medium,todo,0,7,2,PR,,5,medium,todo,0,3,7
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Offpage,,30,medium,todo,0,7,3,Backlink báo,,40,medium,todo,0,3,1
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Offpage,,30,medium,todo,0,7,3,Forum,,26,medium,todo,0,3,2
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Offpage,,30,medium,todo,0,7,3,VIP,,14,medium,todo,0,3,3
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Offpage,,30,medium,todo,0,7,3,Entity,,14,medium,todo,0,3,4
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Offpage,,30,medium,todo,0,7,3,Index,,6,medium,todo,0,3,5
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kỹ thuật,,10,medium,todo,0,7,4,Fix lỗi,,40,medium,todo,0,3,1
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kỹ thuật,,10,medium,todo,0,7,4,Bảo mật,,30,medium,todo,0,3,2
Viết Content,BASIC,Viết Content - BASIC,VIET_CONTENT_BASIC,Barem tự sinh từ markdown cho Viết Content - BASIC,Kỹ thuật,,10,medium,todo,0,7,4,Traffic,,30,medium,todo,0,3,3
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Từ khóa,,40,medium,todo,0,3,1
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Đối thủ,,27,medium,todo,0,3,2
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Kế hoạch,,13,medium,todo,0,3,3
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kiểm tra & phân tích,,15,medium,todo,0,7,1,Setup,,7,medium,todo,0,3,4
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Kế hoạch content,,7,medium,todo,0,3,1
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Bài SEO,,45,medium,todo,0,3,2
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,GuestPost,,25,medium,todo,0,3,3
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Internal link,,8,medium,todo,0,3,4
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,Fix link,,5,medium,todo,0,3,5
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,CTA,,5,medium,todo,0,3,6
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Onpage & Content,,40,medium,todo,0,7,2,PR,,5,medium,todo,0,3,7
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Offpage,,30,medium,todo,0,7,3,Backlink báo,,40,medium,todo,0,3,1
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Offpage,,30,medium,todo,0,7,3,Forum,,27,medium,todo,0,3,2
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Offpage,,30,medium,todo,0,7,3,VIP,,17,medium,todo,0,3,3
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Offpage,,30,medium,todo,0,7,3,Entity,,10,medium,todo,0,3,4
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Offpage,,30,medium,todo,0,7,3,Index,,6,medium,todo,0,3,5
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Fix lỗi nâng cao,,33,medium,todo,0,3,1
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Bảo mật,,27,medium,todo,0,3,2
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Tối ưu WP,,20,medium,todo,0,3,3
Viết Content,ADVANCED,Viết Content - ADVANCED,VIET_CONTENT_ADVANCED,Barem tự sinh từ markdown cho Viết Content - ADVANCED,Kỹ thuật,,15,medium,todo,0,7,4,Traffic,,20,medium,todo,0,3,4
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Thu thập & Crawl,,10,medium,todo,0,7,1,Crawl toàn bộ URL,,40,medium,todo,0,3,1
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Thu thập & Crawl,,10,medium,todo,0,7,1,Lấy dữ liệu index,,20,medium,todo,0,3,2
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Thu thập & Crawl,,10,medium,todo,0,7,1,Thu thập dữ liệu GSC/GA,,20,medium,todo,0,3,3
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Thu thập & Crawl,,10,medium,todo,0,7,1,Tổng hợp dữ liệu,,20,medium,todo,0,3,4
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Phân loại Keyword & URL,,20,medium,todo,0,7,2,Cluster keyword theo topic,,50,medium,todo,0,3,1
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Phân loại Keyword & URL,,20,medium,todo,0,7,2,Xác định intent,,25,medium,todo,0,3,2
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Phân loại Keyword & URL,,20,medium,todo,0,7,2,Mapping keyword → URL,,25,medium,todo,0,3,3
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Lên Plan Audit Từng Bài,,20,medium,todo,0,7,3,Đánh giá từng URL,,50,medium,todo,0,3,1
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Lên Plan Audit Từng Bài,,20,medium,todo,0,7,3,Quyết định giữ/sửa/xoá,,20,medium,todo,0,3,2
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Lên Plan Audit Từng Bài,,20,medium,todo,0,7,3,Định hướng rewrite / viết mới,,15,medium,todo,0,3,3
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Triển khai Content,,40,medium,todo,0,7,4,Outline,,16,medium,todo,0,3,1
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Triển khai Content,,40,medium,todo,0,7,4,Writing,,16,medium,todo,0,3,2
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Triển khai Content,,40,medium,todo,0,7,4,Image,,34,medium,todo,0,3,3
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Triển khai Content,,40,medium,todo,0,7,4,Internal link,,34,medium,todo,0,3,4
Audit Content,STANDARD,Audit Content - STANDARD,AUDIT_CONTENT_STANDARD,Barem tự sinh từ markdown cho Audit Content - STANDARD,Tracking & Đo lường,,10,medium,todo,0,7,5,Theo dõi ranking,,30,medium,todo,0,3,1
